"datetime_utc","Generation_BE","Generation_FR","Prices.BE","holidaysBE"
"2016-11-03 13:00:00",18966.6425,52869,56.5933784683837,0
"2016-11-03 14:00:00",16926.9075,52858,54.930711960106,0
"2016-11-03 15:00:00",14481.9875,52648,48.089074581317,0
"2016-11-03 16:00:00",11764.04,53049,58.3343626529664,0
"2016-11-03 17:00:00",10791.83,54267,65.5324928822447,0
"2016-11-03 18:00:00",10857.4575,60087,74.7049488303732,0
"2016-11-03 19:00:00",10939.745,60925,65.2500342917444,0
"2016-11-03 20:00:00",11020.785,57100,56.8460080840659,0
"2016-11-03 21:00:00",11084.905,54195,51.7160219687468,0
"2016-11-03 22:00:00",11126.055,52465,51.3138172897312,0
"2016-11-03 23:00:00",11206.175,52553,47.7886410587168,0
"2016-11-04 00:00:00",11245.6525,52328,39.4815527280872,0
"2016-11-04 01:00:00",11240.2,50298,33.0790946146868,0
"2016-11-04 02:00:00",11228.5075,49438,32.3066178499624,0
"2016-11-04 03:00:00",11214.5925,48002,30.7620446899299,0
"2016-11-04 04:00:00",11202.08,48256,30.8279419660446,0
"2016-11-04 05:00:00",11194.18,48254,32.3515724964165,0
"2016-11-04 06:00:00",11190.1975,50443,44.8671079445821,0
"2016-11-04 07:00:00",11215.18,52651,58.3774141207519,0
"2016-11-04 08:00:00",12331.16,53328,61.0940564634975,0
"2016-11-04 09:00:00",14674.3525,52967,58.981729713382,0
"2016-11-04 10:00:00",16788.865,52685,59.9690300211926,0
"2016-11-04 11:00:00",18255.555,51746,60.3069668118968,0
"2016-11-04 12:00:00",18688.295,51825,60.5797051867771,0
"2016-11-04 13:00:00",17992.725,51096,56.9276068141194,0
"2016-11-04 14:00:00",16362.32,50533,53.7177029731808,0
"2016-11-04 15:00:00",14072.4525,50992,50.6158400759676,0
"2016-11-04 16:00:00",11916.885,51554,51.3061712137007,0
"2016-11-04 17:00:00",11174.4325,53401,67.2457521842332,0
"2016-11-04 18:00:00",11180.5775,58042,67.0074778704055,0
"2016-11-04 19:00:00",11158.86,57695,65.9633625027229,0
"2016-11-04 20:00:00",11120.05,54591,62.5033135053386,0
"2016-11-04 21:00:00",11074.2975,51477,51.7249686813553,0
"2016-11-04 22:00:00",11028.62,50800,49.9304498429256,0
"2016-11-04 23:00:00",11235.9225,51512,48.272453556868,0
"2016-11-05 00:00:00",11200.495,50842,38.9063163892035,0
"2016-11-05 01:00:00",11163.635,48002,36.7006736115299,0
"2016-11-05 02:00:00",11159.8725,47889,30.9130101932189,0
"2016-11-05 03:00:00",11174.0225,47160,28.3276017642989,0
"2016-11-05 04:00:00",11178.9675,47242,26.8832953726089,0
"2016-11-05 05:00:00",11174.2025,46456,27.3389763639986,0
"2016-11-05 06:00:00",11170.03,46585,28.1626831814878,0
"2016-11-05 07:00:00",11196.715,47224,34.4359410885748,0
"2016-11-05 08:00:00",12672.71,47823,37.6070915741634,0
"2016-11-05 09:00:00",15586.5025,48519,42.1462222786386,0
"2016-11-05 10:00:00",18236.015,49307,44.2272236278726,0
"2016-11-05 11:00:00",20162.6675,50136,46.2118516528436,0
"2016-11-05 12:00:00",20901.8875,50064,46.3970801510959,0
"2016-11-05 13:00:00",20222.13,50018,40.1394664430935,0
"2016-11-05 14:00:00",18252.795,48810,37.2903750116436,0
"2016-11-05 15:00:00",15483.3075,48073,37.0701234403069,0
"2016-11-05 16:00:00",12582.47,47629,38.2891332507713,0
"2016-11-05 17:00:00",11584.685,48760,47.5106729624263,0
"2016-11-05 18:00:00",11621.205,53004,53.8413823061329,0
"2016-11-05 19:00:00",11640.6725,54459,55.2606779090085,0
"2016-11-05 20:00:00",11645.3725,52222,48.8187131339147,0
"2016-11-05 21:00:00",11638.3675,49881,41.5106168948977,0
"2016-11-05 22:00:00",11623.84,49199,41.7212006766172,0
"2016-11-05 23:00:00",11845.79,50109,39.9250363860139,0
"2016-11-06 00:00:00",11628.45,51816,41.3875102137274,0
"2016-11-06 01:00:00",11635.475,50010,37.5952530819207,0
"2016-11-06 02:00:00",11643.845,49201,30.3464714174909,0
"2016-11-06 03:00:00",11646.5025,47117,28.8093943087344,0
"2016-11-06 04:00:00",11641.3275,46741,26.8963153565959,0
"2016-11-06 05:00:00",11629.505,46734,25.7084266482583,0
"2016-11-06 06:00:00",11612.415,46861,25.9067409986266,0
"2016-11-06 07:00:00",11610.3575,46973,30.5472785779003,0
"2016-11-06 08:00:00",12523.7825,47830,33.9574132571008,0
"2016-11-06 09:00:00",14480.715,49100,38.5683994124121,0
"2016-11-06 10:00:00",15872.7225,50176,40.9901255894606,0
"2016-11-06 11:00:00",16638.47,50106,42.8267273916366,0
"2016-11-06 12:00:00",17056.5975,50474,42.1741801824274,0
"2016-11-06 13:00:00",16822.905,50733,38.4093371522381,0
"2016-11-06 14:00:00",15828.7925,49695,34.836618332012,0
"2016-11-06 15:00:00",13992.7875,49555,33.7737571069464,0
"2016-11-06 16:00:00",12031.445,49677,35.0965949385159,0
"2016-11-06 17:00:00",11614.2725,50315,47.0568470046733,0
"2016-11-06 18:00:00",11598.96,54162,52.9810056625778,0
"2016-11-06 19:00:00",11577.6875,56335,50.5446586711185,0
"2016-11-06 20:00:00",11552.14,54997,49.9021734915787,0
"2016-11-06 21:00:00",11523.76,53326,41.8530711024719,0
"2016-11-06 22:00:00",11499.8075,51257,35.9650404932374,0
"2016-11-06 23:00:00",11389.5325,52628,39.6706505297866,0
